SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
DALBHARAT,EQ,700.0,708.0,691.4,697.45,698.0,699.35,219503,153614734.9,13-Jul-20,9199,INE00R701025
DIVISLAB,EQ,2220.0,2240.0,2197.2,2235.15,2240.0,2203.1,600585,1334749269.0,13-Jul-20,28595,INE361B01024
DIXON,EQ,6230.5,6500.0,6230.5,6467.8,6484.95,6230.1,45626,291532843.5,13-Jul-20,10085,INE935N01012
DLF,EQ,148.85,149.2,141.65,142.9,142.8,147.75,13687808,1973787916.0,13-Jul-20,67658,INE271C01023
DMART,EQ,2210.05,2304.95,2180.0,2233.95,2223.0,2322.7,1754347,3927462224.0,13-Jul-20,123187,INE192R01011
DRREDDY,EQ,3915.3,3928.95,3874.0,3899.55,3904.0,3905.45,535690,2089891037.0,13-Jul-20,42363,INE089A01023
EICHERMOT,EQ,19610.0,19729.0,19450.0,19655.0,19634.1,19447.85,133183,2611740599.0,13-Jul-20,28736,INE066A01013
FEDERALBNK,EQ,54.8,54.9,52.75,53.05,53.1,54.2,20919444,1117657474.0,13-Jul-20,41209,INE171A01029
FORCEMOT,EQ,965.7,975.0,955.55,960.6,960.05,961.0,39445,37960205.5,13-Jul-20,2441,INE451A01017
FORTIS,EQ,122.05,124.4,121.8,123.15,123.25,121.4,1435724,176984522.9,13-Jul-20,10295,INE061F01013
GAIL,EQ,103.95,103.95,100.3,101.1,101.15,102.4,10392495,1056806907.0,13-Jul-20,63414,INE129A01019
GLENMARK,EQ,428.9,432.0,413.5,415.5,414.0,426.65,3109961,1307084788.0,13-Jul-20,68253,INE935A01035
GODFRYPHLP,EQ,970.5,977.6,962.2,966.2,962.55,965.3,28869,27935894.15,13-Jul-20,2442,INE260B01028
GODREJCP,EQ,704.95,704.95,690.0,695.1,694.5,697.25,1486087,1033328982.0,13-Jul-20,16259,INE102D01028
GODREJPROP,EQ,900.15,907.95,885.4,894.2,896.5,892.2,577851,517443420.6,13-Jul-20,22999,INE484J01027
GRASIM,EQ,614.4,617.95,607.55,611.75,611.85,611.45,1715549,1051853884.0,13-Jul-20,28398,INE047A01021
HAL,EQ,950.0,965.0,923.9,929.5,929.0,942.4,328109,308157439.1,13-Jul-20,14541,INE066F01012
HAVELLS,EQ,587.9,589.25,577.0,587.1,586.35,580.25,939648,547740936.8,13-Jul-20,17147,INE176B01034
HCLTECH,EQ,585.0,605.0,583.35,602.6,604.0,582.25,5443995,3255206313.0,13-Jul-20,75578,INE860A01027
HDFCAMC,EQ,2472.0,2478.75,2418.3,2445.7,2449.0,2458.65,299121,730673649.1,13-Jul-20,26818,INE127D01025
HDFCBANK,EQ,1109.9,1113.0,1071.3,1080.25,1083.55,1105.1,14961695,16248881581.0,13-Jul-20,265343,INE040A01034
HDFCLIFE,EQ,593.95,603.75,584.0,600.3,603.6,592.5,2854269,1696377686.0,13-Jul-20,69941,INE795G01014
HEROMOTOCO,EQ,2701.95,2714.35,2670.35,2689.7,2688.0,2681.25,713590,1921961256.0,13-Jul-20,42000,INE158A01026
HINDALCO,EQ,165.3,170.5,164.1,169.25,169.9,163.7,21894781,3662656693.0,13-Jul-20,111389,INE038A01020
HINDPETRO,EQ,210.05,214.95,209.2,210.8,211.35,209.9,6509815,1380751901.0,13-Jul-20,52200,INE094A01015
HINDUNILVR,EQ,2239.0,2275.0,2235.0,2265.25,2263.0,2223.8,4556688,10296338551.0,13-Jul-20,158470,INE030A01027
HINDZINC,EQ,190.8,196.4,190.1,195.05,196.0,189.2,2187263,425388094.4,13-Jul-20,22550,INE267A01025
ICICIBANK,EQ,364.1,367.0,352.5,353.6,354.15,360.35,32379950,11587642125.0,13-Jul-20,230035,INE090A01021
ICICIGI,EQ,1270.95,1288.0,1251.05,1273.85,1278.0,1260.1,334234,422356120.7,13-Jul-20,22188,INE765G01017
ICICIPRULI,EQ,420.0,425.25,419.0,423.75,424.5,417.45,1572733,663832979.8,13-Jul-20,24419,INE726G01019
IDEA,EQ,10.0,10.1,9.5,9.75,9.75,9.75,378800062,3683634187.0,13-Jul-20,195812,INE669E01016
IDFCFIRSTB,EQ,27.35,27.6,26.65,26.9,26.9,27.1,28711210,777033948.0,13-Jul-20,48484,INE092T01019
IEX,EQ,185.0,188.0,182.9,185.85,185.9,185.3,403492,75080811.8,13-Jul-20,12880,INE022Q01020
INDHOTEL,EQ,81.5,81.95,79.6,80.05,80.0,81.25,1051905,84383838.65,13-Jul-20,7372,INE053A01029
INDIANB,EQ,63.9,64.6,62.5,62.75,62.7,63.9,1936594,122512880.1,13-Jul-20,10742,INE562A01011
INDIGO,EQ,1020.0,1029.7,1008.1,1014.85,1014.05,1016.75,677791,689162969.9,13-Jul-20,24533,INE646L01027
INDUSINDBK,EQ,549.7,555.0,534.5,539.65,539.1,539.25,16508012,8935211043.0,13-Jul-20,191261,INE095A01012
INFY,EQ,788.0,805.35,786.05,797.05,796.1,781.85,10804911,8618519870.0,13-Jul-20,150013,INE009A01021
INOXWIND,EQ,38.0,38.9,36.3,36.5,36.5,38.1,79817,2969248.75,13-Jul-20,688,INE066P01011
IOC,EQ,87.0,87.75,86.2,87.4,87.3,86.15,16659178,1450908513.0,13-Jul-20,47168,INE242A01010
ITC,EQ,195.9,198.75,195.1,197.55,197.75,194.35,20298006,4001811111.0,13-Jul-20,131996,INE154A01025
JINDALSTEL,EQ,170.5,172.8,168.25,170.1,169.65,169.15,16663165,2842367914.0,13-Jul-20,76660,INE749A01030
JSWENERGY,EQ,46.5,46.65,45.0,45.75,45.65,46.1,889949,40592940.25,13-Jul-20,6469,INE121E01018
JSWSTEEL,EQ,195.4,199.8,195.25,198.4,199.6,193.3,11050735,2181383704.0,13-Jul-20,57145,INE019A01038
JUBLFOOD,EQ,1638.0,1649.0,1596.05,1634.65,1630.0,1620.6,987263,1603393912.0,13-Jul-20,44150,INE797F01012
KEI,EQ,390.85,398.0,385.0,388.55,389.85,388.15,358383,140242841.2,13-Jul-20,10673,INE878B01027
KOTAKBANK,EQ,1360.0,1364.9,1324.1,1335.55,1333.8,1349.35,3356703,4496830346.0,13-Jul-20,112150,INE237A01028
KPITTECH,EQ,63.25,65.5,62.15,64.8,65.1,63.2,496249,31678979.2,13-Jul-20,2674,INE04I401011
LAURUSLABS,EQ,607.45,627.9,599.0,623.9,624.0,597.9,2622341,1614914838.0,13-Jul-20,51716,INE947Q01010
LICHSGFIN,EQ,278.0,281.9,273.5,274.85,275.15,275.85,2630670,728198454.2,13-Jul-20,29343,INE115A01026
LT,EQ,940.0,944.8,925.0,928.15,931.0,932.15,3821343,3571351457.0,13-Jul-20,96417,INE018A01030
LUPIN,EQ,868.85,877.0,858.35,869.8,871.95,861.1,1910103,1660018250.0,13-Jul-20,41701,INE326A01037
M&M,EQ,560.0,560.5,549.2,555.85,553.5,554.85,3167393,1758364945.0,13-Jul-20,74671,INE101A01026
MANAPPURAM,EQ,161.3,162.65,156.65,157.8,158.0,160.0,4928754,785953186.5,13-Jul-20,27495,INE522D01027
MARICO,EQ,343.05,348.0,342.1,347.2,347.65,343.6,1301824,450227897.5,13-Jul-20,18246,INE196A01026
MARUTI,EQ,6000.0,6059.25,5927.8,5988.85,6006.2,5955.65,1035124,6198373072.0,13-Jul-20,80418,INE585B01010
MCX,EQ,1332.0,1334.9,1295.0,1318.95,1317.8,1324.6,121325,160543061.3,13-Jul-20,6386,INE745G01035
MFSL,EQ,559.0,565.8,550.5,560.5,558.5,561.75,684025,380679882.9,13-Jul-20,13913,INE180A01020
MOTILALOFS,EQ,692.1,708.35,665.35,669.6,669.6,691.55,124635,85622801.75,13-Jul-20,6989,INE338I01027
MPHASIS,EQ,916.55,934.0,910.0,923.65,930.0,919.15,118826,109355694.0,13-Jul-20,7645,INE356A01018
MUTHOOTFIN,EQ,1090.3,1121.0,1080.3,1110.75,1113.0,1084.3,2018309,2223041268.0,13-Jul-20,61197,INE414G01012
NAM-INDIA,EQ,298.0,298.4,284.2,286.55,286.2,290.25,806644,232132193.6,13-Jul-20,13519,INE298J01013
NATIONALUM,EQ,36.95,37.15,35.3,35.7,35.85,36.4,16016795,576581016.5,13-Jul-20,39574,INE139A01034
NAUKRI,EQ,2910.0,2925.0,2822.75,2834.2,2839.85,2872.4,160296,458887182.2,13-Jul-20,14568,INE663F01024
NBCC,EQ,26.1,26.35,25.05,25.15,25.2,25.9,9441069,240808668.1,13-Jul-20,28313,INE095N01031
NESTLEIND,EQ,16885.0,17098.0,16875.05,16956.85,16950.0,16833.1,114029,1936224540.0,13-Jul-20,21470,INE239A01016
NHPC,EQ,20.35,20.5,20.2,20.3,20.3,20.25,2672625,54272289.55,13-Jul-20,9062,INE848E01016
NMDC,EQ,84.2,86.35,84.0,85.65,85.4,84.3,6173352,526348392.4,13-Jul-20,26057,INE584A01023
NTPC,EQ,91.05,92.85,89.5,89.9,89.75,90.4,17512895,1594376590.0,13-Jul-20,63705,INE733E01010
OBEROIRLTY,EQ,369.4,375.5,360.1,367.1,367.5,366.3,776800,286289102.2,13-Jul-20,24964,INE093I01010
OFSS,EQ,2765.0,2845.0,2732.35,2818.15,2838.0,2757.65,40064,111315615.8,13-Jul-20,6240,INE881D01027
OIL,EQ,99.8,100.6,97.1,97.6,97.8,99.8,829739,81666849.25,13-Jul-20,11045,INE274J01014
ONGC,EQ,79.2,79.55,78.4,78.9,78.85,78.55,9361006,739109866.5,13-Jul-20,41569,INE213A01029
PAGEIND,EQ,19996.5,20124.95,19675.05,19910.35,19910.5,19892.75,15098,300447714.0,13-Jul-20,7165,INE761H01022
PERSISTENT,EQ,730.0,734.0,700.0,724.8,721.5,731.75,95797,68765524.7,13-Jul-20,8815,INE262H01013
PETRONET,EQ,263.0,268.3,262.6,265.35,265.6,261.6,2364528,626870239.8,13-Jul-20,26011,INE347G01014
PFC,EQ,84.15,84.55,82.35,83.4,83.95,83.6,4630049,385519008.6,13-Jul-20,16714,INE134E01011
PGEL,EQ,42.55,44.4,42.5,43.05,43.6,42.1,37367,1618566.0,13-Jul-20,894,INE457L01011
PHOENIXLTD,EQ,606.95,606.95,588.5,593.0,594.7,599.6,246579,147601460.2,13-Jul-20,5579,INE211B01039
PIDILITIND,EQ,1390.0,1405.0,1383.0,1395.35,1395.1,1382.85,542091,756486845.1,13-Jul-20,24984,INE318A01026
PIIND,EQ,1780.6,1784.95,1672.75,1695.65,1699.0,1758.15,295980,506770834.8,13-Jul-20,29577,INE603J01030
PNB,EQ,35.4,35.45,34.3,34.55,34.55,35.05,28823774,1001003739.0,13-Jul-20,74800,INE160A01022
PNBHOUSING,EQ,214.8,215.0,208.0,209.55,210.0,210.05,278211,58668460.15,13-Jul-20,4323,INE572E01012
POLYCAB,EQ,840.2,845.0,816.55,819.5,820.0,837.6,244361,202714813.8,13-Jul-20,18846,INE455K01017
POWERGRID,EQ,172.6,174.2,168.2,169.1,168.8,172.6,6077163,1037507053.0,13-Jul-20,30878,INE752E01010
POWERINDIA,EQ,854.0,855.0,847.25,850.05,850.0,846.6,49531,42109358.85,13-Jul-20,921,INE07Y701011
PRESTIGE,EQ,196.0,197.0,187.5,189.15,189.0,194.45,380984,72771965.3,13-Jul-20,9373,INE811K01011
RADICO,EQ,382.9,390.0,377.05,380.85,382.0,380.4,749003,287060658.8,13-Jul-20,15893,INE944F01028
RBLBANK,EQ,185.9,185.9,177.1,177.9,177.95,181.05,23245904,4193408394.0,13-Jul-20,124156,INE976G01028
RECLTD,EQ,105.25,105.6,103.0,104.5,104.75,104.75,4253805,442331040.8,13-Jul-20,21074,INE020B01018
RELIANCE,EQ,1903.35,1947.7,1900.0,1935.0,1938.7,1878.05,32124397,61905840823.0,13-Jul-20,615947,INE002A01018
RVNL,EQ,20.1,20.2,19.65,19.75,19.8,19.65,3566139,70851005.8,13-Jul-20,9173,INE415G01027
SAIL,EQ,38.7,38.7,35.5,35.75,35.95,36.9,92261841,3390064331.0,13-Jul-20,129786,INE114A01011
SBICARD,EQ,706.0,708.45,693.1,698.2,699.9,703.15,1082265,755368327.2,13-Jul-20,43478,INE018E01016
SBILIFE,EQ,867.85,867.85,848.15,862.95,866.0,860.2,668675,572922214.4,13-Jul-20,27059,INE123W01016
SBIN,EQ,198.8,199.8,191.6,192.7,193.0,195.6,61952344,12054138665.0,13-Jul-20,271373,INE062A01020
SHREECEM,EQ,22460.0,22627.85,22250.0,22311.2,22300.0,22295.4,52262,1170318777.0,13-Jul-20,14024,INE070A01015
SIEMENS,EQ,1143.4,1149.75,1121.7,1143.65,1141.95,1137.85,606460,689086101.1,13-Jul-20,22328,INE003A01024
SOLARINDS,EQ,1005.0,1014.85,992.1,996.65,997.25,1003.6,47461,47359457.75,13-Jul-20,764,INE343H01029
SRF,EQ,3916.6,3940.95,3816.05,3840.65,3840.0,3894.65,195859,756318681.7,13-Jul-20,17471,INE647A01010
SUNPHARMA,EQ,495.0,501.7,492.3,499.7,498.35,493.9,7504401,3740427379.0,13-Jul-20,95923,INE044A01036
SUPREMEIND,EQ,1105.95,1135.3,1103.65,1113.2,1115.0,1105.45,31543,35227348.95,13-Jul-20,4197,INE195A01028
SUZLON,EQ,5.25,5.25,4.9,4.9,4.95,5.15,21805138,108858755.8,13-Jul-20,15295,INE040H01021
TATACONSUM,EQ,430.1,433.55,422.0,424.45,424.45,430.1,2552387,1091867224.0,13-Jul-20,65897,INE192A01025
TATAELXSI,EQ,923.7,924.0,900.0,902.8,902.45,928.5,367328,334914322.4,13-Jul-20,13259,INE670A01012
TATAPOWER,EQ,50.9,51.1,49.15,49.65,50.25,50.3,23184293,1161897016.0,13-Jul-20,30872,INE245A01021
TATASTEEL,EQ,343.3,347.0,338.5,342.1,342.6,338.7,12115002,4150555312.0,13-Jul-20,115689,INE081A01012
TCS,EQ,2220.0,2244.95,2210.0,2220.0,2222.25,2222.35,2963525,6596301813.0,13-Jul-20,100495,INE467B01029
TECHM,EQ,571.95,601.8,570.5,600.05,600.5,569.0,11008262,6526717326.0,13-Jul-20,139715,INE669C01036
TIINDIA,EQ,450.0,450.15,443.0,444.2,444.5,444.45,51395,22983568.4,13-Jul-20,4250,INE974X01010
TITAN,EQ,973.95,973.95,959.0,966.35,965.05,961.85,2760626,2663831163.0,13-Jul-20,73432,INE280A01028
TORNTPHARM,EQ,2370.0,2384.0,2340.5,2359.6,2360.0,2353.0,178875,421926326.2,13-Jul-20,9251,INE685A01028
TRENT,EQ,625.05,627.45,608.55,613.45,613.0,628.9,693431,426942285.5,13-Jul-20,10471,INE849A01020
TVSMOTOR,EQ,387.6,391.75,384.05,389.55,390.0,385.7,1218951,473788923.8,13-Jul-20,17840,INE494B01023
ULTRACEMCO,EQ,3820.0,3837.8,3778.0,3787.9,3790.0,3798.5,302967,1151726000.0,13-Jul-20,26259,INE481G01011
UNIONBANK,EQ,32.1,32.45,31.35,31.55,31.7,32.05,2943967,93244875.9,13-Jul-20,9230,INE692A01016
UPL,EQ,440.0,444.95,435.5,439.2,440.0,436.5,2480373,1089277823.0,13-Jul-20,44489,INE628A01036
VBL,EQ,687.8,690.05,664.35,680.6,682.0,680.25,214394,146042903.0,13-Jul-20,12690,INE200M01013
VEDL,EQ,111.2,114.2,111.1,112.4,112.4,110.35,17232333,1942457565.0,13-Jul-20,57382,INE205A01025
VOLTAS,EQ,567.8,567.8,548.5,553.6,553.0,562.6,1777304,987226270.0,13-Jul-20,32037,INE226A01021
WIPRO,EQ,223.95,229.0,222.55,227.6,227.8,222.1,12347310,2799582311.0,13-Jul-20,77983,INE075A01022
YESBANK,EQ,22.05,23.5,21.0,22.05,22.05,25.55,70087262,1574551965.0,13-Jul-20,174461,INE528G01035
